Date/Time,news_text,CV Pred Category,TF-IDF Pred Category
2019-09-24T04:06:52Z,  Brook House immigration removal centre near Gatwick Airport can hold up to 448 detaineesPrivate firm G4S will no longer run Brook House immigration removal centre once the contract expires next year BBC News has learned G4S says it has [2573 chars],politics,politics
2019-09-24T03:26:09Z, AFP  Emmanuel Macron l met Angela Merkel and Boris Johnson r at the UN headquartersIran has rejected a joint statement by the leaders of France Germany and the UK who blamed it for attacks earlier this month on Saudi oil in [3843 chars],business,business
2019-09-24T03:20:12Z, Nazanin ZaghariRatcliffe   Nazanin ZaghariRatcliffe has been detained in Iran since April 2016Boris Johnson is to call for the release of jailed BritishIranian national Nazanin ZaghariRatcliffe when he meets Irans president [3227 chars],politics,politics
2019-09-24T03:10:16Z,    People were trapped in burning buildings in WamenaAt least 20 people are dead and 65 injured in Indonesias eastern region of Papua following fresh violenceOn Monday hundreds of protesters mainly high school  [2489 chars],politics,business
2019-09-24T01:36:50Z,,tech,sports
2019-09-24T01:27:11Z, ReutersThomas Cook customers have accused airlines of cashing in on the holiday firms demise after being faced with high bills to book replacement flightsPeople who booked flights with the company now trying to find replacement deals to [3146 chars],business,business
2019-09-24T00:30:59Z,Media captionThe move has been called fundamentally flawed by those who already have licencesGun owners have criticised plans to tighten guidelines on issuing firearms licencesUnder the current system police ask GPs to provide an applicants medical d [2758 chars],politics,politics
2019-09-24T00:18:02Z,    Playing music to dementia patients reduced agitation and stress levelsPlaying music to dementia patients in Accident and Emergency has a calming effect on them a study has found MP3 players were used to play mu [2210 chars],tech,tech
2019-09-24T00:16:55Z,    Pupils studying for Nat4s 5s and Highers can be taught at the same time in the same classroomPupils are being short changed when they are taught together for different qualifications according to a teachers unio [4666 chars],politics,politics
2019-09-24T00:13:32Z,  Sheerans design seen in detail on the right features piano keys and music notesPop superstar Ed Sheeran has said he is made up to have been asked to design a musicthemed Blue Peter badge to mark BBC Music Day on 26 SeptemberHe said [1469 chars],entertainment,tech
2019-09-24T00:11:47Z,  ImagesObesity is not a choice and making people feel ashamed results only in them feeling worse about themselves a report by top psychologists saysIt calls for changes in language to reduce stigma  such as saying a person with obe [3034 chars],politics,politics
2019-09-24T00:10:16Z,  ImagesThe number of people vaping in the UK has reached 36 million  about half the number of smokers  figures from Action on Smoking and Health suggestThe data indicates most vapers are former smokers with the main reason for usi [2821 chars],business,business
